id,author,page,text,rate,reply_to,created_at,updated_at,user_id,category,published
195,یونس,zagros,در هر صورت با پرواز شرکت زاگرس پشیمان خواهید شد ,1,,2018-08-05 02:19:51.086256,2018-08-05 02:19:51.086256,221743,1,t
196,اصلاحی,sepehran,افتضاح بود افتضاح دل و روده ت میومد تو حلقت من پرواز بندر عباس مشهد سوار شدم هم کثیف و کهنه بو و تاخیر داشت هم خیلی زجر اور بود وحشت رو مشد تو چهره ی همه ی مسافرا دید از بس لرزش داشت و نیم ساعت اول حس می کردی داره سقوط می کنه بس که ناگهانی ارتفاعشو کم میکرد هیچ ستاره ایی بهش نمیدم فقط بلدن با جون مردم بازی کنن ,,,2018-08-05 17:36:27.472152,2018-08-05 17:36:27.472152,222426,1,t
197,مهدی,iran-air-tour,"تأخیر 5 ساعته در پرواز اسپارتا به تبریز در تاریخ 97/05/04 علاوه بر خستگی و بی خوابی شبانه در فرودگاه اسپارتای ترکیه,مجبور شدم پای دو تا ساندویچ کوچولو و یه بیسکویت خیلی ریز به پول خودمون 100 هزار تومن پول بدم.توی پرواز رفتش هم داخل کابین مثل فریزر بود.",1,,2018-08-05 21:41:48.896504,2018-08-05 21:41:48.896504,162710,1,t
198,"",safarestan,"",,,2018-08-10 05:17:17.165805,2018-08-10 05:17:17.165805,229966,2,t
199,فرناز كاوياني ,safarestan,"",4,,2018-08-10 05:31:43.722959,2018-08-10 05:31:43.722959,230270,2,t
200,"",hipotrip,"",,,2018-08-10 15:27:18.475496,2018-08-10 15:27:18.475496,230843,2,t
201,"",flightio,"",,,2018-08-11 17:40:07.967949,2018-08-11 17:40:07.967949,232949,2,t
202,"",iran-air,"",,,2018-08-12 19:39:47.724101,2018-08-12 19:39:47.724101,235120,1,t
203,"",ghasedak,"",,,2018-08-16 02:43:31.626218,2018-08-16 02:43:31.626218,237233,2,t
204,آرمین تیموری ,zagros,بهترین سفر را با آن داشتیم ,5,,2018-08-18 09:32:35.405089,2018-08-18 09:32:35.405089,241394,1,t
205,آرمین تیموری ,zagros,من که راضی بودم وقتی که با هواپیمای ایرباس 320 پرواز داشتم,5,,2018-08-18 09:37:53.458908,2018-08-18 09:37:53.458908,241394,1,t
206,"",flytoday,"",,,2018-08-20 00:38:41.631764,2018-08-20 00:38:41.631764,243325,2,t
207,بهار,sepehran,سلام...خیلی هم تعریفی نداره...من یه دفعه تهران بودم ساعت ۷شب پرواز داشتم ساعت ۱۲ظهر زنگ زدن هواپیما تعجیل ساعت داره تا نیم ساعت دیگه بیاید سفرتون رو انجام بدید...به جای اینکه پروازی رو جایگزین کنن و بدون در نظر گرفتن حق مسافر...چقدر متحمل ضرر شدم تا بالاخره یه بلیط برا روز بعد گرفتم.,2,,2018-08-21 09:08:20.644863,2018-08-21 09:08:20.644863,242466,1,t
208,بهار,safarme,سلام...اطلاع رسانی شون برا خرید بلیط ارزان خیلی خوب و جالب بود....پیامک دادن و من راحت بلیط تهیه کردم,4,,2018-08-21 09:11:18.15417,2018-08-21 09:11:18.15417,242466,2,t
